"genus_species","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"Netuma patriciae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3034000015,NA
"Nezumia aspidentata",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2,NA
"Nezumia brevibarbata",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.26,1143
"Nezumia brevirostris",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Nezumia burragei",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.35,571
"Nezumia cliveri",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.26,987.5
"Nezumia condylura",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.21,460
"Nezumia convergens",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3,1235
"Nezumia ectenes",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Nezumia evides",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Nezumia holocentra",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1810000038,624.5
"Nezumia infranudis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Nezumia investigatoris",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,625
"Nezumia kamoharai",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.38,NA
"Nezumia kapala",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.41,1042.5
"Nezumia kensmithi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.3979999924,NA
"Nezumia latirostrata",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.23,994.5
"Nezumia leucoura",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.23,771
"Nezumia liolepis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3,1214
"Nezumia merretti",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.245,727
"Nezumia namatahi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.35,NA
"Nezumia obliquata",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.3979999924,1099.5
"Nezumia orbitalis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2,661.5
"Nezumia parini",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.23,NA
"Nezumia polylepis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1430000019,569.5
"Nezumia propinqua",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.27,566.5
"Nezumia proxima",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.37,632.5
"Nezumia pudens",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.4,909
"Nezumia pulchella",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3,605
"Nezumia rara",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.45,860.5
"Nezumia semiquincunciata",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.27,NA
"Nezumia shinoharai",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.2439999962,663.5
"Nezumia soela",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.35,1165
"Nezumia spinosa",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.28,730
"Nezumia stelgidolepis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.45,593
"Nezumia tinro",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.36,1320
"Nezumia toi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,955
"Nezumia tomiyamai",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.35,NA
"Nezumia umbracincta",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.385,1000
"Nezumia ventralis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3279999924,696.5
"Nezumia wularnia",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.37,910
"Nomorhamphus brembachi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.06199999809,NA
"Normanichthys crockeri",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.11,NA
"Ocosia apia",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05320000172,189.5
"Ocosia fasciata",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06,165.5
"Ocosia sphex",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03859999895,137.5
"Ocosia spinosa",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ocosia vespa",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08,83
"Ocynectes maschalis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,NA
"Ocynectes modestus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07,NA
"Ophichthus megalops",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3320000076,NA
"Ophichthus menezesi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus microstictus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.4890000153,406
"Ophichthus mystacinus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.4290000153,597.5
"Ophichthus olivaceus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,49
"Ophichthus omorgmus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus polyophthalmus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.625,13.5
"Ophichthus retrodorsalis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Ophichthus roseus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Normichthys yahganorum",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.1639999962,1000
"Notacanthus abbotti",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,551.5
"Notacanthus indicus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.2,1003
"Notacanthus sexspinis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.6,830
"Notacanthus spinosus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Notarius osculus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.28,NA
"Notesthes robusta",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,NA
"Notocheirus hubbsi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Notograptus gregoryi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,NA
"Notoliparis antonbruuni",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",NA,NA
"Notoliparis kermadecensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2579999924,6960.5
"Notoliparis kurchatovi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1080000019,NA
"Notoliparis macquariensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.08800000191,5405
"Notolycodes schmidti",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3859999847,600
"Notomuraenobathys microcephalus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.3,2508
"Notophycis fitchi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,575
"Notophycis marginata",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.24,NA
"Notoraja hesperindica",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.5329999924,1415
"Notothenia coriiceps",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.62,275
"Notothenia cyanobrancha",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,NA
"Notothenia neglecta",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.45,48
"Notothenia rossii",NA,"ne",NA,NA,NA,NA,NA,NA,10000,"demersal",0.92,177.5
"Notothenia trigramma",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Nototheniops larseni",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.24,390
"Nototheniops tchizh",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,300
"Novaculoides macrolepidotus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.16,14
"Novaculops alvheimi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.09600000381,NA
"Novaculops compressus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.1042000008,97.5
"Novaculops halsteadi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1202000046,35
"Novaculops koteamea",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.2589999962,150
"Novaculops pastellus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1169999981,17.5
"Novaculops sciistius",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.06199999809,NA
"Novaculops woodi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1929999924,NA
"Nuchequula blochii",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,20.5
"Nuchequula gerreoides",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.125,20
"Nuchequula glenysae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07300000191,NA
"Nuchequula longicornis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07900000095,NA
"Nuchequula mannusella",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.1010000038,NA
"Nuchequula nuchalis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.25,NA
"Nudiantennarius subteres",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.075,65.5
"Obliquogobius cirrifer",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.02880000114,NA
"Obliquogobius fulvostriatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.02430000067,153
"Obliquogobius megalops",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Obliquogobius yamadai",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05159999847,132
"Occella dodecaedron",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2160000038,162.5
"Occella iburia",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2120000076,210.5
"Occella kasawae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,76
"Occella kuronumai",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Odontamblyopus lacepedii",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.3029999924,NA
"Odontamblyopus rebecca",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1410000038,NA
"Odontanthias dorsomaculatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1339999962,155
"Odontanthias flagris",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,NA
"Odontanthias grahami",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.09399999619,NA
"Odontanthias hensleyi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.155,NA
"Odontanthias randalli",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2120000076,NA
"Odontanthias rhodopeplus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.16,NA
"Odontanthias unimaculatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,NA
"Odontanthias wassi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Odonteleotris canina",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,NA
"Odonteleotris polylepis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Odontesthes nigricans",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.2160000038,NA
"Odontesthes platensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1189999962,NA
"Odontopyxis trispinosa",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.095,191
"Ogilbyina novaehollandiae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,NA
"Ogilbyina queenslandiae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,10.5
"Oidiphorus brevis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.115,517.5
"Okamejei philipi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Oligocottus rimensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06400000095,NA
"Oligocottus rubellio",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,NA
"Oligocottus snyderi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08899999619,NA
"Oncopterus darwinii",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3035000038,50
"Oncorhynchus clarkii",NA,"ne",NA,NA,NA,NA,NA,NA,18600,"demersal",0.99,100
"Oncorhynchus masou",NA,"ne",NA,NA,NA,NA,NA,NA,10000,"benthopelagic",0.79,100
"Onigocia lacrimalis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1436999989,218
"Onigocia sibogae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,36.5
"Onuxodon albometeori",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1076000023,NA
"Opaeophacus acrogeneius",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1530000019,650
"Ophichthus alleni",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,157.5
"Ophichthus aniptocheilos",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1419999981,406
"Ophichthus aphotistos",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,693
"Ophichthus apicalis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.45,11
"Ophichthus arneutes",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3060000038,495.5
"Ophichthus asakusae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.7,NA
"Ophichthus bicolor",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.9269999695,300
"Ophichthus bonaparti",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.75,NA
"Ophichthus brachynotopterus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.4609999847,467.5
"Ophichthus brasiliensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus brevicaudatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus brevidorsalis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3979999924,439.5
"Ophichthus brevirostris",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",NA,405
"Ophichthus celebicus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus cephalozona",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1.15,15.5
"Ophichthus congroides",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.5220000076,NA
"Ophichthus cruentifer",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4670000076,130
"Ophichthus echeloides",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.51,288
"Ophichthus erabo",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.72,NA
"Ophichthus exourus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.6690000153,460
"Ophichthus fasciatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1147999954,NA
"Ophichthus fowleri",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.92,77.5
"Ophichthus genie",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.3370000076,465
"Ophichthus grandoculis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus hirritus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.5279999924,NA
"Ophichthus humanni",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.6690000153,277
"Ophichthus ishiyamorum",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.4370000076,329
"Ophichthus kailashchandrai",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4620000076,NA
"Ophichthus kunaloa",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.4729999924,347.5
"Ophichthus lentiginosus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.6279999924,NA
"Ophichthus limkouensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus lithinus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",1.48,NA
"Ophichthus macrochir",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.92,12.5
"Ophichthus macrops",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus manilensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus marginatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.47,NA
"Ophichthus rotundus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.7930000305,NA
"Ophichthus rutidoderma",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.95,NA
"Ophichthus semilunatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus serpentinus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.68,362.5
"Ophichthus shaoi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6229999924,NA
"Ophichthus singapurensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus stenopterus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus tchangi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophichthus tetratrema",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,850
"Ophichthus tomioi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.4470000076,361.5
"Ophichthus tsuchidae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5,NA
"Ophichthus unicolor",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,NA
"Ophichthus woosuitingi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Opua nephodes",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.04400000095,85
"Ostorhinchus leslie",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.04900000095,NA
"Ostorhinchus limenus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.14,15.5
"Ostorhinchus lineomaculatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.065,20
"Ostorhinchus luteus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.04420000076,25
"Ostorhinchus maculiferus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.14,60
"Ostorhinchus margaritophorus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.065,3
"Ostorhinchus melanoproctus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.04,32.5
"Ophiogobius jenynsi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophioscion adustus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophioscion costaricensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Ophisurus macrorhynchos",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",1.4,NA
"Ophthalmolycus andersoni",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2629999924,NA
"Ophthalmolycus campbellensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1569999981,258
"Ophthalmolycus chilensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.2710000038,NA
"Ophthalmolycus conorhynchus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.23,NA
"Ophthalmolycus eastmani",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3690000153,NA
"Ophthalmolycus macrops",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1460000038,312.5
"Ophthalmolycus polylepis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,NA
"Opisthocentrus ocellatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,167.5
"Opistognathus albicaudatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.09479999542,27.5
"Opistognathus alleni",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07369999886,16.5
"Opistognathus brasiliensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1292000008,59.5
"Opistognathus castelnaui",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,60
"Opistognathus cuvierii",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1135000038,NA
"Opistognathus cyanospilotus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.13,21
"Opistognathus darwiniensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.5,NA
"Opistognathus decorus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1497000027,NA
"Opistognathus dendriticus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.28,21
"Opistognathus elizabethensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07139999866,9
"Opistognathus evermanni",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.11,NA
"Opistognathus eximius",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Opistognathus hongkongiensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Opistognathus hopkinsi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1068000031,NA
"Opistognathus inornatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.55,NA
"Opistognathus iyonis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.06,NA
"Opistognathus jacksoniensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Opistognathus latitabundus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,37.5
"Opistognathus liturus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.0553000021,NA
"Opistognathus macrolepis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
"Opistognathus mexicanus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.12,13
"Opistognathus papuensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4,NA
"Opistognathus randalli",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.1043000031,18.5
"Opistognathus reticeps",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,15.5
"Opistognathus reticulatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5,NA
"Opistognathus rosenbergii",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.14,10.5
"Opistognathus rufilineatus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07900000095,18.5
"Opistognathus seminudus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08619999886,11
"Opistognathus stigmosus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.07050000191,24.5
"Opistognathus verecundus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.05260000229,5.5
"Oplegnathus conwayi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.9,NA
"Oplegnathus peaolopesi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.75,75
"Oplegnathus punctatus",NA,"ne",NA,NA,NA,NA,NA,NA,12080,"reef-associated",0.86,69
"Oplegnathus robinsoni",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,60
"Oplopomops diacanthus",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.075,11.5
"Oreosoma atlanticum",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.21,885
"Orthonopias triacis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,NA
"Orthopristis rubra",NA,"ne",NA,NA,NA,NA,NA,NA,850,"demersal",0.4,35.5
"Osmerus dentex",NA,"ne",NA,NA,NA,NA,NA,NA,119,"pelagic-neritic",0.34,145
"Osmerus eperlanus",NA,"ne",NA,NA,NA,NA,NA,NA,178,"pelagic-neritic",0.45,NA
"Osopsaron formosensis",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.055,NA
"Osopsaron karlik",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.04199999809,355
"Osopsaron verecundum",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.06,NA
"Osteodiscus andriashevi",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.175,1358
"Osteodiscus cascadiae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.07400000095,2450
"Osteodiscus rhepostomias",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.04,NA
"Osteomugil cunnesius",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"demersal",0.41,1.5
"Osteomugil formosae",NA,"ne",NA,NA,NA,NA,NA,NA,NA,"reef-associated",NA,NA
