"genus_species","iucn_authority","iucn_category","lat_range","long_range","trophic_level","mature_age","longevity","diet","mass_g","length_m","depth_num","depth_zone"
"Coelorinchus biclinozonalis",NA,"ne",48.56540111,17,NA,4.5,19.1,NA,NA,0.6,NA,NA
"Amphistichus rhodoterus",NA,"ne",13.5014,4,NA,3,9,"benthivorous",NA,0.41,NA,"demersal"
"Hyperprosopon argenteum",NA,"ne",9.9428,9,3.5,1.1,3.8,NA,NA,0.3,NA,NA
"Molva molva",NA,"ne",24.5667,36,4.4,6,25,"generalist",45000,2,175,"demersal"
"Molva molva",NA,"ne",24.5667,36,4.4,6,30,"generalist",45000,2,175,"demersal"
"Molva molva",NA,"ne",24.5667,36,4.4,6,25,"generalist",45000,2,175,"demersal"
"Molva molva",NA,"ne",24.5667,36,4.4,6,25,"generalist",45000,2,175,"demersal"
"Molva molva",NA,"ne",24.5667,36,4.4,6,25,"generalist",45000,2,175,"demersal"
"Molva molva",NA,"ne",24.5667,36,4.4,6,25,"generalist",45000,2,175,"demersal"
"Molva molva",NA,"ne",24.5667,36,4.4,6,25,"generalist",45000,2,175,"demersal"
"Molva molva",NA,"ne",24.5667,36,4.4,6,25,"generalist",45000,2,175,"demersal"
"Molva molva",NA,"ne",24.5667,36,4.4,6,25,"generalist",45000,2,175,"demersal"
"Coryphaenoides serrulatus",NA,"ne",22.9149,143,NA,3.5,14.2,NA,NA,0.45,NA,NA
"Urophycis brasiliensis",NA,"ne",28.6333,39,3.8,2.7,10.5,NA,NA,0.4,NA,NA
"Halargyreus johnsonii",NA,"ne",127.3862,343,3.4,10.5,27.4,"generalist",NA,0.56,NA,"bathypelagic"
"Halargyreus johnsonii",NA,"ne",127.3862,343,3.4,10.5,27.4,"generalist",NA,0.56,NA,"bathypelagic"
"Halargyreus johnsonii",NA,"ne",127.3862,343,3.4,10.5,27.4,"generalist",NA,0.56,NA,"bathypelagic"
"Halargyreus johnsonii",NA,"ne",127.3862,343,3.4,10.5,27.4,"generalist",NA,0.56,NA,"bathypelagic"
"Halargyreus johnsonii",NA,"ne",127.3862,343,3.4,10.5,27.4,"generalist",NA,0.56,NA,"bathypelagic"
"Prionotus nudigula",NA,"ne",30.1535,30,4.2,1.6,5.5,NA,NA,0.22,NA,NA
"Auxis thazard thazard",NA,"ne",63.9453,145,NA,0.8,2.9,NA,NA,0.65,NA,NA
"Lethrinus haematopterus",NA,"ne",52.05,30,NA,2.5,9.8,NA,NA,0.45,NA,NA
"Nemipterus balinensis",NA,"ne",4.58,6,NA,1.3,4.2,NA,NA,0.18,NA,NA
"Nemipterus bathybius",NA,"ne",47.5967,98,4,1.9,7.1,NA,NA,0.2,NA,NA
"Sphyraena flavicauda",NA,"ne",64.5833,129,3.8,2.4,9.6,"carnivorous",NA,0.35,13.5,NA
"Kuhlia xenura",NA,"ne",4.0166,8,3,2.6,9.4,NA,NA,0.222,NA,NA
"Sillaginopsis panijus",NA,"ne",15.43053,19,3.3,1.7,6.8,NA,NA,0.44,NA,NA
"Sillago chondropus",NA,"ne",55.9597,91,NA,1.8,6.6,NA,NA,0.35,NA,NA
"Psammoperca waigiensis",NA,"ne",68.0514,69,4,1.6,6.2,NA,NA,0.47,NA,NA
"Diplodus sargus cadenati",NA,"ne",54.49892,28,NA,5.3,22.1,NA,NA,0.45,NA,NA
"Diplodus sargus sargus",NA,"ne",77.1,55,NA,6.7,28.6,NA,NA,0.45,NA,NA
"Diplodus sargus kotschyi",NA,"ne",NA,NA,NA,2.9,10.9,NA,NA,0.3,NA,NA
"Terapon puta",NA,"ne",54.5533,117,3.1,1.4,4.7,"carnivorous",NA,0.1,5.5,NA
"Temnocora candida",NA,"ne",5.2111,12,NA,4.8,8,"benthivorous",NA,0.106,NA,"bathydemersal"
"Temnocora candida",NA,"ne",5.2111,12,NA,4.8,8,"benthivorous",NA,0.106,NA,"bathydemersal"
"Sillago analis",NA,"ne",18.85,41,3.2,1.6,5.7,NA,NA,0.45,NA,NA
"Polydactylus plebeius",NA,"ne",65.3584,167,3.6,1.7,6.5,NA,1650,0.45,NA,NA
"Cynoglossus bilineatus",NA,"ne",56.4833,123,3.5,4.6,19,NA,NA,0.44,NA,NA
"Salmo labrax",NA,"ne",NA,NA,NA,6.2,28.8,NA,NA,1.1,NA,NA
"Clinocottus acuticeps",NA,"ne",22.6069,39,3.5,3.9,5,"benthivorous",NA,0.064,NA,"demersal"
"Clinocottus acuticeps",NA,"ne",22.6069,39,3.5,3.9,5,"benthivorous",NA,0.064,NA,"demersal"
"Oligocottus maculosus",NA,"ne",28.8601,43,3.4,4.1,13.3,NA,NA,0.089,NA,NA
"Clevelandia ios",NA,"ne",24.75,15,3.1,1.1,3,NA,NA,0.064,NA,NA
"Pallasina barbata",NA,"ne",30.4961,65,3.2,4.7,7,"planktivorous",NA,0.17,NA,"demersal"
"Plesiops thysanopterus",NA,"ne",1,1,NA,1.2,3.2,NA,NA,0.063,NA,NA
"Phanerodon atripes",NA,"ne",NA,NA,NA,2,8,"benthivorous",NA,0.29,NA,"demersal"
"Anisotremus dovii",NA,"ne",29.06,31,NA,2.9,11.9,NA,NA,0.45,NA,NA
"Leuresthes tenuis",NA,"ne",14.2856,11,NA,2.1,7.1,NA,NA,0.19,NA,NA
"Carangoides ciliarius",NA,"ne",54.811,91,NA,2,8.4,NA,NA,0.61,NA,NA
"Sphyrna couardi",NA,"ne",21.4333333969,30,4.5,4.2,22.4,NA,NA,3,NA,NA
"Micropogonias ectenes",NA,"ne",14.5633,13,3.4,1.8,6.8,NA,NA,0.4,NA,NA
"Micropogonias megalops",NA,"ne",13.76,11,NA,1.8,6.8,NA,NA,0.4,NA,NA
"Alosa caspia caspia",NA,"ne",NA,NA,NA,2.6,9.4,NA,NA,0.32,NA,NA
"Seriolella porosa",NA,"ne",65.9767,44,3.4,2.1,7.9,NA,NA,0.01,NA,NA
"Arripis georgianus",NA,"ne",14.92,38,4.3,0.9,2.9,NA,NA,0.41,NA,NA
"Platybelone argalus pterura",NA,"ne",32.6625,37,NA,1.2,4.3,NA,NA,0.4,NA,NA
"Pelsartia humeralis",NA,"ne",6.9667,8,NA,2.7,10.5,NA,NA,0.38,NA,NA
"Helicolenus percoides",NA,"ne",27.3057,55,4,5.8,24.7,NA,1400,0.47,NA,NA
"Pinguipes brasilianus",NA,"ne",24.8167,39,3.8,3.5,15.1,"carnivorous",NA,0.3,105,NA
"Pseudopercis semifasciata",NA,"ne",26.923,23,3.9,4.5,20.6,NA,10000,1,NA,NA
"Sebastes atrovirens",NA,"ne",1.9428,2,3.4,4,15.9,NA,NA,0.42,NA,NA
"Sebastes auriculatus",NA,"ne",20.773,14,4,5,34,"generalist",NA,0.52,NA,"demersal"
"Sebastes auriculatus",NA,"ne",20.773,14,4,5,34,"generalist",NA,0.52,NA,"demersal"
"Sebastes carnatus",NA,"ne",4.725,5,3.6,4.5,30,"generalist",NA,0.37,NA,"demersal"
"Sebastes carnatus",NA,"ne",4.725,5,3.6,4.5,30,"generalist",NA,0.37,NA,"demersal"
"Sebastes chrysomelas",NA,"ne",15.7522,8,3.5,4.1,15.9,NA,NA,0.39,NA,NA
"Sebastes dallii",NA,"ne",7.9908,7,NA,3,12,"generalist",NA,0.25,NA,"demersal"
"Sebastes ensifer",NA,"ne",1.994,1,NA,5.9,71,"generalist",NA,0.3,NA,"demersal"
"Sebastes ensifer",NA,"ne",1.994,1,NA,5.9,71,"generalist",NA,0.3,NA,"demersal"
"Sebastes mystinus",NA,"ne",38.6193,98,2.8,6.5,44,"generalist",3790,0.49,NA,"reef-associated"
"Sebastes mystinus",NA,"ne",38.6193,98,2.8,9.2,44,"generalist",3790,0.49,NA,"reef-associated"
"Sebastes mystinus",NA,"ne",38.6193,98,2.8,5.9,44,"generalist",3790,0.49,NA,"reef-associated"
"Sebastes mystinus",NA,"ne",38.6193,98,2.8,5.9,44,"generalist",3790,0.49,NA,"reef-associated"
"Sebastes mystinus",NA,"ne",38.6193,98,2.8,4,44,"generalist",3790,0.49,NA,"reef-associated"
"Sebastes ovalis",NA,"ne",10.6875,6,NA,5,37,"generalist",950,0.49,NA,"demersal"
"Sebastes ovalis",NA,"ne",10.6875,6,NA,5,37,"generalist",950,0.49,NA,"demersal"
"Sebastes ovalis",NA,"ne",10.6875,6,NA,5,37,"generalist",950,0.49,NA,"demersal"
"Sebastes rufus",NA,"ne",17.7484,10,NA,7,53,"generalist",1980,0.54,NA,"demersal"
"Sebastes rufus",NA,"ne",17.7484,10,NA,7,53,"generalist",1980,0.54,NA,"demersal"
"Sebastes rufus",NA,"ne",17.7484,10,NA,7,53,"generalist",1980,0.54,NA,"demersal"
"Sebastes saxicola",NA,"ne",27.5517,46,NA,3.7,38,"generalist",NA,0.38,NA,"demersal"
"Sebastes saxicola",NA,"ne",27.5517,46,NA,3.7,38,"generalist",NA,0.38,NA,"demersal"
"Sebastes saxicola",NA,"ne",27.5517,46,NA,3.7,38,"generalist",NA,0.38,NA,"demersal"
"Sebastes saxicola",NA,"ne",27.5517,46,NA,3.7,38,"generalist",NA,0.38,NA,"demersal"
"Sebastes umbrosus",NA,"ne",4.4416,4,NA,5.9,71,"generalist",570,0.298,NA,"demersal"
"Sebastes wilsoni",NA,"ne",26.8996,43,NA,9.2,26,"generalist",NA,0.23,NA,"demersal"
"Sebastes wilsoni",NA,"ne",26.8996,43,NA,5.9,26,"generalist",NA,0.23,NA,"demersal"
"Sebastes wilsoni",NA,"ne",26.8996,43,NA,5.9,26,"generalist",NA,0.23,NA,"demersal"
"Sebastes schlegelii",NA,"ne",7.8,15,NA,7.3,31.8,NA,3140,0.65,NA,NA
"Sectator ocyurus",NA,"ne",31.5271,99,3.5,4.2,17.9,NA,NA,0.59,NA,NA
"Sillago schomburgkii",NA,"ne",16.395,26,3.2,1.5,5.4,NA,NA,0.42,NA,NA
"Girella tricuspidata",NA,"ne",30.915,65,2,3.9,15.8,NA,4000,0.71,NA,NA
"Sillaginodes punctatus",NA,"ne",31.795,38,3.3,1.4,5.4,NA,4800,0.72,NA,NA
"Sillago flindersi",NA,"ne",33,23,3.3,2.1,7.7,NA,NA,0.32,NA,NA
"Sillago ingenuua",NA,"ne",14.72,35,NA,1.2,3.9,NA,NA,0.2,NA,NA
"Secutor insidiator",NA,"ne",60.1667,139,2.8,1,2.8,NA,NA,0.113,NA,NA
"Rhinobatos glaucostigma",NA,"ne",34.159999609,38,NA,2,8.7,NA,NA,0.763,NA,NA
"Anacanthobatis folirostris",NA,"ne",12.5167007446,13,NA,0.1,0,"generalist",NA,0.4,NA,"bathydemersal"
"Dipturus linteus",NA,"ne",108.341701508,29,3.6,10.7,51,"benthivorous",NA,1.52,NA,"bathydemersal"
"Dipturus linteus",NA,"ne",108.341701508,29,3.6,10.7,51,"benthivorous",NA,1.11825,NA,"bathydemersal"
"Nettenchelys paxtoni",NA,"ne",1,1,NA,1,3.3,NA,NA,0.248,NA,NA
"Hexanematichthys sagor",NA,"ne",22.17,33,3.1,3.2,13,NA,NA,0.45,NA,NA
"Lactarius lactarius",NA,"ne",44.6833,110,4,1,3.3,NA,NA,0.4,NA,NA
"Selenanthias analis",NA,"ne",46.23,154,NA,1.4,4.4,NA,NA,0.13,NA,NA
"Satyrichthys welchi",NA,"ne",61.99,38,NA,4.6,19,NA,NA,0.46,NA,NA
"Helicolenus lengerichi",NA,"ne",21.21,26,NA,1.9,6.9,NA,NA,0.307,NA,NA
"Pseudophycis breviuscula",NA,"ne",24.475,60,3.4,1.4,4.9,NA,NA,0.25,NA,NA
"Myripristis aulacodes",NA,"ne",NA,NA,NA,1,3.1,NA,NA,0.2,NA,NA
"Hypoatherina valenciennei",NA,"ne",30.78333,16,3.2,1.6,5.2,NA,NA,0.12,NA,NA
"Hemiramphus far",NA,"ne",64.125,162,2.9,1.4,5.2,"herbivorous",NA,0.3,5.5,NA
"Rhinogobius brunneus",NA,"ne",35.4592,25,NA,1.5,4.7,NA,NA,0.1,NA,NA
"Fundulus bermudae",NA,"ne",NA,NA,2.9,1.2,3.6,NA,17,0.129,NA,NA
"Hemiramphus depauperatus",NA,"ne",38.0104,1,NA,1.3,4.9,NA,NA,0.346,NA,NA
"Platybelone argalus argalus",NA,"ne",44.3,61,NA,1.2,4.5,NA,NA,0.5,NA,NA
"Cheilopogon arcticeps",NA,"ne",50.27,55,NA,0.7,2.3,NA,NA,0.21,NA,NA
"Hyporhamphus quoyi",NA,"ne",49.8467,75,3,1.2,4.4,NA,NA,0.312,NA,NA
"Goniistius zonatus",NA,"ne",4.2,3,3.2,3.7,15,NA,NA,0.45,NA,NA
"Ostracion cubicus",NA,"ne",68.7261,185,3.4,0.1,0,NA,NA,0.45,NA,NA
"Ostracion immaculatus",NA,"ne",4.28,3,NA,0.1,0,NA,NA,0.25,NA,NA
"Takifugu radiatus",NA,"ne",NA,NA,NA,1.7,5.9,NA,NA,0.2,NA,NA
"Dascyllus albisella",NA,"ne",23.07667,25,3.1,1.6,5.3,NA,NA,0.13,NA,NA
"Amphistichus argenteus",NA,"ne",33.2842,36,3.5,2,9,"benthivorous",2000,0.43,NA,"demersal"
"Sebastes iracundus",NA,"ne",1,1,NA,8.2,35.7,NA,NA,0.6,NA,NA
"Sebastes hopkinsi",NA,"ne",10.6834,7,NA,5,19,"generalist",NA,0.3,NA,"reef-associated"
"Sebastes hopkinsi",NA,"ne",10.6834,7,NA,5,19,"generalist",NA,0.3,NA,"reef-associated"
"Sebastes hopkinsi",NA,"ne",10.6834,7,NA,5,19,"generalist",NA,0.3,NA,"reef-associated"
"Sebastes rubrivinctus",NA,"ne",23.7113,17,NA,6.5,18,"generalist",1450,0.45,NA,"demersal"
"Sebastes rubrivinctus",NA,"ne",23.7113,17,NA,6.5,18,"generalist",1450,0.45,NA,"demersal"
"Sebastes rubrivinctus",NA,"ne",23.7113,17,NA,6.5,18,"generalist",1450,0.45,NA,"demersal"
"Congresox talabonoides",NA,"ne",4.6667,17,4.3,0.1,0,NA,NA,2.5,NA,NA
"Nemapteryx caelata",NA,"ne",27.72,35,4,3.2,13,NA,NA,0.45,NA,NA
"Rhinecanthus abyssus",NA,"ne",NA,NA,NA,1.5,4.9,NA,NA,0.166,NA,NA
"Rhynchorhamphus arabicus",NA,"ne",NA,NA,NA,0.8,2.4,NA,NA,0.2,NA,NA
"Pempheris molucca",NA,"ne",18.6833,32,3.3,1.6,5.2,NA,NA,0.15,NA,NA
"Lactoria diaphana",NA,"ne",87.29,225,3.5,0.1,0,NA,NA,0.34,NA,NA
"Lactoria cornuta",NA,"ne",61.95,253,3.5,0.1,0,NA,NA,0.46,NA,NA
"Lactoria fornasini",NA,"ne",64.1425,173,NA,0.1,0,NA,NA,0.23,NA,NA
"Ostracion rhinorhynchos",NA,"ne",46.8783,56,3.5,0.1,0,NA,NA,0.35,NA,NA
"Tripodichthys angustifrons",NA,"ne",47.7825,78,3.5,2,7,NA,NA,0.2,NA,NA
"Ostracion meleagris",NA,"ne",63.6358,263,2.9,0.1,0,NA,NA,0.25,NA,NA
"Ostracion cyanurus",NA,"ne",22.63136,116,NA,0.1,0,NA,NA,0.15,NA,NA
"Liza macrolepis",NA,"ne",62.4,104,2.6,4.5,19.1,NA,NA,0.6,NA,NA
"Vincentia punctata",NA,"ne",39.80333,93,NA,0.9,2.8,NA,NA,0.15,NA,NA
"Sciades proops",NA,"ne",24.8875,42,4.4,2.1,9.1,NA,9000,1,NA,NA
"Sargocentron marisrubri",NA,"ne",NA,NA,NA,1.1,3.5,NA,NA,0.183,NA,NA
"Tripodichthys blochii",NA,"ne",35.781,35,3.5,1.6,5.3,NA,NA,0.15,NA,NA
"Trichiurus auriga",NA,"ne",20.2,49,4.2,0.7,2.5,NA,NA,0.35,NA,NA
"Xiphister mucosus",NA,"ne",25.7056,31,2.2,4.9,20.5,NA,NA,0.58,NA,NA
"Pinguipes chilensis",NA,"ne",10.4166,2,3.4,2.7,11,NA,1574,0.5,NA,NA
"Polydactylus sexfilis",NA,"ne",48.1981,164,3.4,1.7,7.2,NA,3170,0.61,NA,NA
"Coryphaenoides delsolari",NA,"ne",32.2833,83,NA,3.8,15.9,NA,NA,0.51,NA,NA
"Kyphosus incisor",NA,"ne",72.27,85,2,7,31.9,NA,3850,0.9,NA,NA
"Rhynchopelates oxyrhynchus",NA,"ne",8.75,5,3.6,2.3,8.6,NA,NA,0.25,NA,NA
"Leptomelanosoma indicum",NA,"ne",57.8667,113,3.9,3.2,15.3,NA,NA,1.42,NA,NA
"Exocoetus monocirrhus",NA,"ne",68.1858,237,3.1,0.7,2.2,NA,NA,0.2,NA,NA
"Enophrys diceraus",NA,"ne",29.1013,66,3.3,3.9,9.6,"generalist",760,0.32,NA,"demersal"
"Enophrys diceraus",NA,"ne",29.1013,66,3.3,3.9,9.6,"generalist",760,0.32,NA,"demersal"
"Enophrys diceraus",NA,"ne",29.1013,66,3.3,3.9,9.6,"generalist",760,0.32,NA,"demersal"
"Enophrys diceraus",NA,"ne",29.1013,66,3.3,3.9,9.6,"generalist",760,0.32,NA,"demersal"
"Enophrys diceraus",NA,"ne",29.1013,66,3.3,3.9,9.6,"generalist",760,0.32,NA,"demersal"
"Enophrys diceraus",NA,"ne",29.1013,66,3.3,3.9,9.6,"generalist",760,0.32,NA,"demersal"
"Opisthocentrus zonope",NA,"ne",1,1,NA,2,6.7,NA,NA,0.12,NA,NA
"Gymnelus viridis",NA,"ne",40.9993,159,3.1,2,12,"benthivorous",NA,0.243,NA,"demersal"
"Gymnelus viridis",NA,"ne",40.9993,159,3.1,2,12,"benthivorous",NA,0.243,NA,"demersal"
"Gymnelus viridis",NA,"ne",40.9993,159,3.1,2,12,"benthivorous",NA,0.243,NA,"demersal"
"Gymnelus viridis",NA,"ne",40.9993,159,3.1,2,12,"benthivorous",NA,0.243,NA,"demersal"
"Gymnelus viridis",NA,"ne",40.9993,159,3.1,2,12,"benthivorous",NA,0.243,NA,"demersal"
"Gymnelus viridis",NA,"ne",40.9993,159,3.1,2,12,"benthivorous",NA,0.243,NA,"demersal"
"Oncorhynchus rhodurus",NA,"ne",NA,NA,NA,3.1,12.4,NA,1250,0.442,NA,NA
"Lubricogobius tre",NA,"ne",NA,NA,NA,0.1,0,NA,NA,0.025,NA,NA
"Hapalogenys nitens",NA,"ne",12.74,8,NA,0.1,0,NA,NA,0.3,NA,NA
"Mobula rochebrunei",NA,"ne",1,1,3.9,2.9,13.8,NA,NA,1.33,NA,NA
"Stromateus brasiliensis",NA,"ne",88.54,81,3.4,1.5,5.7,NA,NA,0.38,NA,NA
"Pseudopentaceros wheeleri",NA,"ne",23.6517,21,3.4,7.1,28.7,NA,NA,0.44,NA,NA
"Paraliparis dactylosus",NA,"ne",19.9748,52,NA,3,9,"planktivorous",NA,0.121,NA,"bathydemersal"
"Paraliparis dactylosus",NA,"ne",19.9748,52,NA,3,9,"planktivorous",NA,0.121,NA,"bathydemersal"
"Paraliparis dactylosus",NA,"ne",19.9748,52,NA,3,9,"planktivorous",NA,0.121,NA,"bathydemersal"
"Paraliparis dactylosus",NA,"ne",19.9748,52,NA,3,9,"planktivorous",NA,0.121,NA,"bathydemersal"
"Paraliparis dactylosus",NA,"ne",19.9748,52,NA,3,9,"planktivorous",NA,0.121,NA,"bathydemersal"
"Paraliparis dactylosus",NA,"ne",19.9748,52,NA,3,9,"planktivorous",NA,0.121,NA,"bathydemersal"
"Cubiceps whiteleggii",NA,"ne",60.28,137,3.4,1,3.1,NA,110,0.21,NA,NA
"Eupleurogrammus muticus",NA,"ne",16.45,56,4.2,1.2,4.7,NA,NA,0.7,NA,NA
"Satyrichthys rieffeli",NA,"ne",47.5,38,NA,3.3,12.3,NA,NA,0.28,NA,NA
"Neocentropogon profundus",NA,"ne",NA,NA,NA,2.5,7.7,NA,NA,0.076,NA,NA
"Gerres methueni",NA,"ne",22.6761,24,3.6,1.3,4.9,NA,NA,0.3,NA,NA
"Gerres japonicus",NA,"ne",3.12,4,NA,1.2,4,NA,NA,0.2,NA,NA
"Ichthyscopus lebeck",NA,"ne",11.3,37,4.5,3.7,15.9,NA,NA,0.6,NA,NA
"Notothenia microlepidota",NA,"ne",18.6436,129,3.9,5.4,23.9,NA,NA,0.7,NA,NA
"Cirrhimuraena chinensis",NA,"ne",37.1167,14,NA,2.1,8.7,NA,NA,0.548,NA,NA
"Mene maculata",NA,"ne",59.85,123,3.4,3.9,15.2,NA,NA,0.3,NA,NA
"Lycodes reticulatus",NA,"ne",43.7319,175,3.5,4,27,"benthivorous",NA,0.76,NA,"bathydemersal"
"Lycodes reticulatus",NA,"ne",43.7319,175,3.5,4,27,"benthivorous",NA,0.76,NA,"bathydemersal"
"Lycodes reticulatus",NA,"ne",43.7319,175,3.5,4,27,"benthivorous",NA,0.76,NA,"bathydemersal"
"Lycodes reticulatus",NA,"ne",43.7319,175,3.5,4,27,"benthivorous",NA,0.76,NA,"bathydemersal"
"Lycodes reticulatus",NA,"ne",43.7319,175,3.5,4,27,"benthivorous",NA,0.76,NA,"bathydemersal"
"Lycodes reticulatus",NA,"ne",43.7319,175,3.5,4,27,"benthivorous",NA,0.7,NA,"bathydemersal"
"Lycodes reticulatus",NA,"ne",43.7319,175,3.5,4,27,"benthivorous",NA,0.76,NA,"bathydemersal"
"Lycodes reticulatus",NA,"ne",43.7319,175,3.5,4,27,"benthivorous",NA,0.76,NA,"bathydemersal"
"Lycodes reticulatus",NA,"ne",43.7319,175,3.5,4,27,"benthivorous",NA,0.76,NA,"bathydemersal"
"Kareius bicoloratus",NA,"ne",2.65,2,3.7,1.8,6.9,NA,NA,0.5,NA,NA
"Percis japonica",NA,"ne",18.3083,48,3.1,4.7,7,"benthivorous",NA,0.42,NA,"bathydemersal"
"Percis japonica",NA,"ne",18.3083,48,3.1,4.7,7,"benthivorous",NA,0.42,NA,"bathydemersal"
"Percis japonica",NA,"ne",18.3083,48,3.1,4.7,7,"benthivorous",NA,0.42,NA,"bathydemersal"
"Artediellus atlanticus",NA,"ne",41.2177,78,3.4,3.5,10,"benthivorous",NA,0.168,NA,"demersal"
"Artediellus atlanticus",NA,"ne",41.2177,78,3.4,3.5,10,"benthivorous",NA,0.168,NA,"demersal"
"Artediellus atlanticus",NA,"ne",41.2177,78,3.4,3.5,10,"benthivorous",NA,0.168,NA,"demersal"
"Artediellus atlanticus",NA,"ne",41.2177,78,3.4,3.5,10,"benthivorous",NA,0.168,NA,"demersal"
"Artediellus atlanticus",NA,"ne",41.2177,78,3.4,3.5,10,"benthivorous",NA,0.168,NA,"demersal"
"Artediellus atlanticus",NA,"ne",41.2177,78,3.4,3.5,10,"benthivorous",NA,0.143,NA,"demersal"
"Artediellus atlanticus",NA,"ne",41.2177,78,3.4,3.5,10,"benthivorous",NA,0.168,NA,"demersal"
"Artediellus atlanticus",NA,"ne",41.2177,78,3.4,3.5,10,"benthivorous",NA,0.168,NA,"demersal"
"Artediellus atlanticus",NA,"ne",41.2177,78,3.4,3.5,10,"benthivorous",NA,0.168,NA,"demersal"
"Pleurogrammus azonus",NA,"ne",NA,NA,NA,2.1,8.5,NA,1830,0.62,NA,NA
"Sebastes matsubarai",NA,"ne",NA,NA,NA,8.2,35.7,NA,NA,0.6,NA,NA
"Sebastes taczanowskii",NA,"ne",NA,NA,NA,3.1,11.3,NA,NA,0.32,NA,NA
"Centroberyx gerrardi",NA,"ne",11.5,54,NA,6,26,NA,NA,0.66,NA,NA
"Paristiopterus labiosus",NA,"ne",15.58,56,3.3,3.5,16,NA,NA,1,NA,NA
"Oplopomus caninoides",NA,"ne",29.865,108,NA,1.5,4.3,NA,NA,0.075,NA,NA
"Cygnodraco mawsoni",NA,"ne",13.17,169,4.4,0.1,0,NA,404.2000122,0.41,NA,NA
"Gerlachea australis",NA,"ne",17.55,169,3.3,0.1,0,NA,57.09999847,0.24,NA,NA
"Harpagifer kerguelensis",NA,"ne",6.6167,5,NA,0.1,0,NA,NA,0.082,NA,NA
"Mugil gyrans",NA,"ne",23.4191,29,NA,3.2,13,NA,NA,0.46,NA,NA
"Tridentiger brevispinis",NA,"ne",3.7905,6,NA,1.5,4.7,NA,13.94999981,0.1,NA,NA
"Lycodapus mandibularis",NA,"ne",74.3083,101,NA,3.5,11,"generalist",NA,0.2,NA,"bathypelagic"
"Lycodapus mandibularis",NA,"ne",74.3083,101,NA,3.5,11,"generalist",NA,0.2,NA,"bathypelagic"
"Lycodapus mandibularis",NA,"ne",74.3083,101,NA,3.5,11,"generalist",NA,0.2,NA,"bathypelagic"
"Gaidropsarus biscayensis",NA,"ne",7.3788,8,3.6,2.8,8,"benthivorous",NA,0.4,340,"benthopelagic"
"Gaidropsarus biscayensis",NA,"ne",7.3788,8,3.6,2.8,8,"benthivorous",NA,0.4,340,"benthopelagic"
"Oedalechilus labeo",NA,"ne",20.7667,3,2.5,2,7.3,"omnivorous",NA,0.215,5.5,NA
"Diplodus argenteus caudimacula",NA,"ne",1,1,NA,2.9,10.9,NA,NA,0.3,NA,NA
"Diplodus sargus ascensionis",NA,"ne",NA,NA,NA,2.3,8.1,NA,NA,0.22,NA,NA
"Pseudophycis barbata",NA,"ne",21.0462,63,3.5,2.7,11.5,NA,NA,0.63,NA,NA
"Artedidraco skottsbergi",NA,"ne",17.0553,217,3.2,0.1,0,NA,NA,0.1,NA,NA
"Dolloidraco longedorsalis",NA,"ne",12.7066,269,3.2,0.1,0,NA,NA,0.137,NA,NA
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Lycodes palearis",NA,"ne",30.86,64,3.5,3.6,14.4,"benthivorous",NA,0.51,NA,"bathydemersal"
"Aspidophoroides monopterygius",NA,"ne",32.3633,141,3,4.7,7,"benthivorous",NA,0.2,NA,"demersal"
"Aspidophoroides monopterygius",NA,"ne",32.3633,141,3,4.7,7,"benthivorous",NA,0.2,NA,"demersal"
"Aspidophoroides monopterygius",NA,"ne",32.3633,141,3,4.7,7,"benthivorous",NA,0.2,NA,"demersal"
"Aspidophoroides monopterygius",NA,"ne",32.3633,141,3,4.7,7,"benthivorous",NA,0.2,NA,"demersal"
"Aspidophoroides monopterygius",NA,"ne",32.3633,141,3,4.7,7,"benthivorous",NA,0.2,NA,"demersal"
"Aspidophoroides monopterygius",NA,"ne",32.3633,141,3,4.7,7,"benthivorous",NA,0.2,NA,"demersal"
"Aspidophoroides monopterygius",NA,"ne",32.3633,141,3,4.7,7,"benthivorous",NA,0.2,NA,"demersal"
"Aspidophoroides monopterygius",NA,"ne",32.3633,141,3,4.7,7,"benthivorous",NA,0.2,NA,"demersal"
"Aspidophoroides monopterygius",NA,"ne",32.3633,141,3,4.7,7,"benthivorous",NA,0.2,NA,"demersal"
